brand_id,series_id,mode_id,brand_name,series_name,mode_name,price,dp_price,month_price
121,3189,90016345,比亚迪,宋,2018款 1.5TID 自动智联尊贵型,10.99万,首付1.08万,月供3238元
121,2577,90016354,比亚迪,速锐,2018款 1.5L 手动畅享型,6.59万,首付0.60万,月供1885元
121,381,90016348,比亚迪,F3,2018款 1.5L 手动经典型,4.39万,首付0.42万,月供1342元
83,3111,90013585,吉利汽车,博瑞,2017款 1.8T 尊贵型,15.68万,首付1.47万,月供4395元
244,3291,90012622,东风风光,580,2017款 1.5T CVT智联版,12.30万,首付1.19万,月供3566元
238,2963,90014948,北汽绅宝,D50,2018款 1.5L CVT时尚智驾版,7.79万,首付0.71万,月供2215元
63,2878,90013674,北京,BJ40,2017款 40L 2.3T 自动四驱环塔冠军版,17.98万,首付1.74万,月供5171元
121,3189,90016344,比亚迪,宋,2018款 1.5TID 自动舒适型,9.99万,首付0.98万,月供3004元
121,2577,90016353,比亚迪,速锐,2018款 1.5L 手动悦享型,5.99万,首付0.55万,月供1715元
83,3111,90013590,吉利汽车,博瑞,2017款 2.4L 尊尚型,13.88万,首付1.30万,月供3897元
244,3291,90014187,东风风光,580,2017款 改款 1.5T CVT豪华型,10.10万,首付0.96万,月供2879元
238,2963,90014947,北汽绅宝,D50,2018款 1.5L 手动尊贵智驾版,7.69万,首付0.70万,月供2185元
63,2878,90013673,北京,BJ40,2017款 40L 2.3T 手动四驱环塔冠军版,16.98万,首付1.64万,月供4879元
121,3189,90016343,比亚迪,宋,2018款 1.5TI 手动智联尊享型,9.99万,首付0.98万,月供2993元
244,3291,90011143,东风风光,580,2017款 1.5T CVT豪华型,10.10万,首付0.96万,月供2879元
238,2963,90014954,北汽绅宝,D50,2018款 1.5L 手动尊享智联版,8.59万,首付0.79万,月供2452元
63,2878,90004888,北京,BJ40,2016款 2.3T 自动两驱尊贵版,15.98万,首付1.55万,月供4595元
121,3189,90016215,比亚迪,宋,2018款 1.5TI 手动智联进享型,8.99万,首付0.88万,月供2695元
244,3291,90014188,东风风光,580,2017款 1.5T CVT舒适型,9.39万,首付0.89万,月供2734元
238,2963,90014950,北汽绅宝,D50,2018款 1.5L CVT尊贵智驾版,8.69万,首付0.87万,月供2661元
63,2878,90004889,北京,BJ40,2016款 2.3T 手动四驱尊享版,15.98万,首付1.55万,月供4595元
121,3189,90016294,比亚迪,宋,2018款 1.5TI 手动进取型,7.99万,首付0.78万,月供2398元
244,3291,90014189,东风风光,580,2017款 1.5T 手动豪华型,9.19万,首付0.89万,月供2716元
238,2963,90014951,北汽绅宝,D50,2018款 1.5L CVT尊贵智联版,9.19万,首付0.85万,月供2631元
63,2878,90004898,北京,BJ40,2016款 40L 2.3T 自动两驱尊贵版,15.98万,首付1.54万,月供4582元
238,2963,90014952,北汽绅宝,D50,2018款 1.5L CVT尊享智联版,9.69万,首付0.90万,月供2779元
63,2878,90004893,北京,BJ40,2016款 40L 2.3T 自动两驱豪华版,14.98万,首付1.44万,月供4290元
63,2878,90004882,北京,BJ40,2016款 40L 2.0T 手动两驱豪华版,12.98万,首付1.24万,月供3706元
63,2878,90004874,北京,BJ40,2016款 2.0T 手动两驱尊贵版,12.98万,首付1.25万,月供3734元
63,2878,90004902,北京,BJ40,2016款 40L 2.3T 手动四驱尊享版,15.98万,首付1.54万,月供4582元
121,381,90016349,比亚迪,F3,2018款 1.5L 手动时尚型,4.59万,首付0.44万,月供1401元
34,90001250,90014071,别克,阅朗,2018款 18T 自动旗舰型,14.69万,首付1.25万,月供3773元
34,90001032,90012161,别克,GL6,2018款 18T 6座精英型,14.49万,首付1.39万,月供4152元
34,3165,90014550,别克,威朗,2018款 三厢 15S 自动进取型,14.69万,首付1.21万,月供3646元
34,3038,90015355,别克,昂科威,2018款 20T 两驱豪华型,23.99万,首付2.03万,月供6016元
34,2643,90015104,别克,昂科拉,2018款 18T 自动两驱都市精英型,16.99万,首付1.37万,月供4135元
34,1899,90014541,别克,英朗,2018款 15T 手动精英型,11.69万,首付0.88万,月供2679元
34,220,90011840,别克,GL8,2017款 25S 豪华型,24.99万,首付2.42万,月供7118元
34,83,90015231,别克,君越,2018款 20T 豪华型,25.98万,首付2.17万,月供6426元
93,105,90014446,奔腾,B70,2018款 2.0L 自动互联智享型,11.48万,首付1.09万,月供3266元
93,90000474,90016417,奔腾,X40,2018款 网红版 1.6L 自动互联智享型,9.68万,首付0.97万,月供2955元
93,3196,90014442,奔腾,B30,2018款 1.6L 手动20周年纪念版,7.28万,首付0.68万,月供2102元
93,2748,90014448,奔腾,X80,2018款 2.0L 自动20周年纪念版,13.48万,首付1.24万,月供3706元
93,1912,90014443,奔腾,B50,2018款 1.6L 手动20周年纪念版,8.58万,首付0.79万,月供2436元
84,90000085,90014774,大众,蔚领,2018款 1.5L 手动舒适型,12.59万,首付1.10万,月供3311元
34,90001250,90014538,别克,阅朗,2018款 18T 自动精英型,13.69万,首付1.15万,月供3481元
34,90001032,90014535,别克,GL6,2018款 18T 6座尊贵型,16.69万,首付1.61万,月供4794元
34,3165,90014546,别克,威朗,2018款 两厢 15S 自动领先型,14.59万,首付1.21万,月供3641元
34,3038,90015353,别克,昂科威,2018款 20T 两驱领先型,21.99万,首付1.83万,月供5416元
34,2643,90015101,别克,昂科拉,2018款 18T 手动两驱都市进取型,13.99万,首付1.07万,月供3260元
34,1899,90014540,别克,英朗,2018款 15T 双离合进取型,11.99万,首付0.91万,月供2767元
34,220,90011841,别克,GL8,2017款 25S 舒适型,22.99万,首付2.22万,月供6540元
34,83,90015232,别克,君越,2018款 20T 精英型,23.98万,首付1.97万,月供5826元
93,105,90014447,奔腾,B70,2018款 轿跑版 1.8T 自动互联智享型,12.28万,首付1.17万,月供3505元
93,90000474,90016416,奔腾,X40,2018款 网红版 1.6L 自动互联智酷型,8.98万,首付0.90万,月供2747元
93,1912,90014444,奔腾,B50,2018款 1.4T 自动20周年纪念版,10.58万,首付0.99万,月供2973元
84,90000085,90014779,大众,蔚领,2018款 230TSI DSG舒适型,14.89万,首付1.33万,月供3977元
34,90001250,90014537,别克,阅朗,2018款 15T 双离合精英型,12.99万,首付1.09万,月供3285元
34,90001032,90014534,别克,GL6,2018款 18T 6座豪华型,15.59万,首付1.50万,月供4473元
34,3165,90014551,别克,威朗,2018款 三厢 15S 手动领先型,14.49万,首付1.14万,月供3466元
34,3038,90015354,别克,昂科威,2018款 20T 两驱精英型,22.99万,首付1.93万,月供5705元
34,2643,90015103,别克,昂科拉,2018款 18T 自动两驱都市时尚型,15.59万,首付1.23万,月供3727元
34,1899,90014544,别克,英朗,2018款 18T 自动旗舰型,14.39万,首付1.15万,月供3467元
34,220,90011839,别克,GL8,2017款 25S 尊贵型,26.99万,首付2.62万,月供7696元
34,83,90015230,别克,君越,2018款 28T 豪华型,28.98万,首付2.46万,月供7274元
93,105,90014445,奔腾,B70,2018款 2.0L 手动互联智享型,10.48万,首付0.99万,月供2974元
93,90000474,90016414,奔腾,X40,2018款 网红版 1.6L 手动互联智酷型,7.98万,首付0.80万,月供2450元
84,90000085,90014776,大众,蔚领,2018款 1.5L 手动豪华型,13.99万,首付1.24万,月供3720元
34,90001250,90014536,别克,阅朗,2018款 15T 手动精英型,11.99万,首付0.98万,月供2971元
34,3165,90014545,别克,威朗,2018款 两厢 15S 自动进取型,13.59万,首付1.11万,月供3350元
34,3038,90015356,别克,昂科威,2018款 20T 四驱豪华型,24.99万,首付2.13万,月供6305元
34,2643,90015102,别克,昂科拉,2018款 18T 自动两驱都市领先型,14.99万,首付1.17万,月供3551元
34,220,90009466,别克,GL8,2017款 28T 舒适型,28.99万,首付2.83万,月供8288元
34,83,90015234,别克,君越,2018款 28T Avenir,30.98万,首付2.89万,月供8505元
93,105,90001492,奔腾,B70,2016款 1.8T 自动精英型,12.28万,首付1.14万,月供3422元
84,90000085,90014778,大众,蔚领,2018款 230TSI 手动舒适型,13.49万,首付1.19万,月供3568元
34,3165,90014552,别克,威朗,2018款 三厢 15S 自动领先型,15.49万,首付1.29万,月供3879元
34,3038,90015358,别克,昂科威,2018款 28T 四驱豪华型,28.99万,首付2.52万,月供7448元
34,2643,90015105,别克,昂科拉,2018款 18T 自动四驱全能旗舰型,18.99万,首付1.57万,月供4719元
34,220,90009467,别克,GL8,2017款 28T 尊享型,32.99万,首付3.23万,月供9472元
34,83,90015233,别克,君越,2018款 20T 领先型,22.98万,首付1.87万,月供5537元
84,90000085,90016067,大众,蔚领,2018款 1.5L 自动时尚型,12.89万,首付1.14万,月供3437元
34,3165,90014548,别克,威朗,2018款 GS 20T 双离合领先型,16.59万,首付1.41万,月供4225元
34,3038,90015359,别克,昂科威,2018款 28T 四驱全能运动旗舰型,31.99万,首付2.82万,月供8342元
34,220,90009468,别克,GL8,2017款 28T 豪华型,36.99万,首付3.63万,月供10628元
34,3165,90014547,别克,威朗,2018款 GS 20T 双离合进取型,15.59万,首付1.31万,月供3933元
34,220,90009469,别克,GL8,2017款 28T 旗舰型,39.99万,首付3.93万,月供11495元
34,3165,90014555,别克,威朗,2018款 三厢 20T 双离合豪华型,17.99万,首付1.49万,月供4488元
34,220,90009474,别克,GL8,2017款 2.0T Avenir,44.99万,首付8.13万,月供12147元
34,3165,90014549,别克,威朗,2018款 GS 20T 双离合豪华型,18.59万,首付1.61万,月供4809元
84,3288,90016548,大众,高尔夫·嘉旅,2018款 1.6L 手动舒适型,13.19万,首付1.20万,月供3610元
84,90000085,90014780,大众,蔚领,2018款 230TSI DSG豪华型,16.29万,首付1.47万,月供4385元
84,1971,90014833,大众,CC,2018款 3.0 FSI V6,34.28万,首付3.02万,月供8902元
84,566,90014765,大众,速腾,2018款 1.6L 手动舒适型,13.88万,首付1.19万,月供3580元
84,449,90010031,大众,捷达,2017款 1.5L 手动豪华型,10.96万,首付0.93万,月供2825元
84,448,90014748,大众,宝来,2018款 1.5L 自动豪华型,14.38万,首付1.23万,月供3688元
84,266,90014853,大众,高尔夫,2018款 2.0TSI GTI,23.99万,首付2.22万,月供6542元
84,135,90014350,大众,迈腾,2018款 380TSI DSG 旗舰型,31.69万,首付2.98万,月供8776元
119,3275,90014917,一汽,森雅R7,2017款 智能网联版 1.5T 手动智擎型,8.49万,首付0.82万,月供2511元
84,3288,90016552,大众,高尔夫·嘉旅,2018款 230TSI 自动进取型,16.69万,首付1.54万,月供4599元
84,90000085,90014777,大众,蔚领,2018款 1.5L 自动豪华型,15.19万,首付1.36万,月供4070元
84,1971,90014829,大众,CC,2018款 1.8TSI 豪华型,26.88万,首付2.29万,月供6777元
84,566,90014766,大众,速腾,2018款 1.6L 自动舒适型,15.08万,首付1.30万,月供3917元
84,449,90010029,大众,捷达,2017款 1.5L 手动舒适型,9.76万,首付0.81万,月供2527元
84,448,90014750,大众,宝来,2018款 230TSI 自动舒适型,14.18万,首付1.20万,月供3618元
84,266,90014852,大众,高尔夫,2018款 280TSI DSG 旗舰型,18.29万,首付1.66万,月供4942元
84,135,90014349,大众,迈腾,2018款 380TSI DSG 尊贵型,27.39万,首付2.55万,月供7506元
119,3275,90014258,一汽,森雅R7,2017款 1.5T 手动豪华型,7.79万,首付0.75万,月供2303元
84,3288,90016549,大众,高尔夫·嘉旅,2018款 1.6L 自动舒适型,14.39万,首付1.32万,月供3950元
84,1971,90014832,大众,CC,2018款 2.0TSI 至尊型,30.38万,首付2.63万,月供7761元
84,566,90014771,大众,速腾,2018款 280TSI DSG R-Line,16.78万,首付1.46万,月供4385元
84,449,90010027,大众,捷达,2017款 1.5L 手动时尚型,8.56万,首付0.69万,月供2171元
